ticker,total_rows,date_start,date_end,extreme_daily_moves_gt30pct,non_positive_price_rows,final_rows,quality_pass
AAPL,501,2024-04-16,2026-04-15,0,0,501,True
AMZN,501,2024-04-16,2026-04-15,0,0,501,True
GS,501,2024-04-16,2026-04-15,0,0,501,True
JNJ,501,2024-04-16,2026-04-15,0,0,501,True
JPM,501,2024-04-16,2026-04-15,0,0,501,True
MSFT,501,2024-04-16,2026-04-15,0,0,501,True
NVDA,501,2024-04-16,2026-04-15,0,0,501,True
PG,501,2024-04-16,2026-04-15,0,0,501,True
UNH,501,2024-04-16,2026-04-15,0,0,501,True
XOM,501,2024-04-16,2026-04-15,0,0,501,True
^GSPC,501,2024-04-16,2026-04-15,0,0,501,True
